X_tilde,Y,X,Z
0.687656628,5.010107802,NA,1
1.363829773,2.317946609,NA,0
-0.637278589,4.468581122,NA,1
-2.24297521,0.507703297,NA,0
-2.577475869,3.062279046,NA,0
-2.060801208,0.290339251,NA,1
-0.551444434,3.457654194,NA,1
2.752213813,-0.128465714,NA,0
-1.599147957,1.063563761,NA,0
1.246557425,2.173911168,NA,0
2.677241255,2.827822205,NA,1
3.272852264,0.245210636,NA,0
-2.981917619,1.514825812,NA,0
-0.635021526,-0.084761627,NA,0
-0.081620473,3.457978783,NA,0
2.976894832,2.306631257,NA,1
-2.391775571,0.39395058,-0.440989248,0
-1.940953996,2.937516305,0.28716119,1
0.824301452,-0.279788754,NA,0
1.081928787,0.234898177,NA,0
-0.506447107,3.009365534,NA,1
1.485751381,4.340422151,NA,1
1.612494505,2.259585701,0.23655586,0
-2.2392332,-1.580537668,NA,0
1.229918039,1.411892229,NA,1
2.956757608,1.340989115,NA,0
-0.407900568,0.63548452,NA,0
1.310859613,2.802806448,NA,1
1.917704167,0.995040366,NA,1
4.187320204,2.812984298,NA,1
-3.48438044,-0.455135111,NA,0
0.854481336,1.759042903,NA,0
-2.202643132,1.028926635,NA,1
-1.087750605,-0.087382377,-0.750755911,1
2.45885553,4.062728476,NA,1
4.010052028,1.193995585,NA,0
1.674215123,2.581578661,NA,0
-0.424840692,2.213708713,NA,1
1.977952178,3.396480184,NA,1
2.292019242,3.201137185,NA,1
-2.493902973,1.540113118,NA,0
0.974596914,2.542634918,1.689889899,1
0.251894715,1.099364406,NA,0
0.48440076,1.075198396,-0.120044954,1
-2.958221824,1.949730712,NA,1
0.322138414,3.039275001,NA,1
2.228390564,2.959199467,NA,0
-2.34200864,-0.715177386,NA,1
-0.779710047,3.069688101,NA,1
1.115687648,1.45223955,NA,1
-2.89907889,-0.151243709,-1.172054285,0
3.612068149,1.552920186,NA,0
-0.59549786,2.418673707,NA,0
-0.853562288,5.971108604,1.673025298,1
0.102980057,1.568269345,NA,0
1.25570539,3.429811177,0.43226098,1
1.762679026,1.466173466,NA,0
3.911196592,3.616871983,1.463486143,1
-0.355329795,1.405449464,NA,0
3.113077216,1.465709625,NA,0
2.592277209,4.308380447,2.196299222,1
0.845780935,3.84768377,NA,1
-2.899359592,-0.614231237,NA,0
-2.20372879,0.959149182,NA,1
-1.645536834,1.053692439,-0.143472726,1
3.215759017,2.827359991,1.166269979,0
-2.003654158,-0.465744192,NA,0
-0.17800684,4.160633916,NA,1
1.207951279,4.645434348,NA,1
-0.81701105,4.249003037,NA,1
-2.673176798,0.652023363,NA,1
-0.78255829,-0.773459946,NA,0
2.684137129,2.476377836,2.230209385,1
-2.567195691,0.04008132,NA,1
-0.132098023,3.209694071,1.744269905,0
1.824979565,3.591965094,NA,1
2.965921946,4.038679905,NA,1
-1.233768872,0.672585729,NA,0
-1.363841666,3.773486448,1.839858618,1
1.503540321,2.89152946,NA,1
-0.677344077,0.955474914,NA,1
1.016161212,2.711762185,NA,1
-1.674749607,1.072028961,-0.806051338,0
-1.420838091,3.573014032,NA,1
0.801594878,0.47799415,NA,0
0.506706193,1.399817449,NA,1
-1.05876108,3.203858189,NA,1
-0.08437326,1.603521486,NA,0
0.767234077,3.426419832,1.223236605,1
3.054629565,2.944471368,NA,1
0.926255703,3.262455502,NA,0
-0.678547474,1.844486334,NA,0
-3.776071752,-0.684659999,NA,0
-0.326581767,3.860491004,0.811140257,1
0.057066959,1.063505975,NA,1
-1.013713921,0.002265839,-0.756006111,0
-1.056311126,3.475046834,NA,1
2.23317667,3.904634976,NA,0
2.794235782,1.277856762,NA,1
-1.148522245,1.314043816,NA,1
-2.009930612,2.0390242,-0.050145704,1
-3.762137139,0.873845026,NA,0
1.857290682,1.590481335,NA,1
-0.814036589,2.20143406,NA,1
-0.412109271,-0.863209321,NA,0
1.852168707,1.963358801,NA,1
0.878685116,0.102355793,-0.448068781,0
-0.394411488,-2.386835449,NA,0
-1.149491636,1.263744734,NA,0
2.444194576,3.593083971,NA,1
-1.609135912,3.239955826,0.669058187,0
1.335298454,0.376086496,NA,0
0.564866301,2.926384706,NA,0
-0.546885654,-0.151460275,NA,0
